화랑도	hwarangdo
대둔사	taedunsa
동건	tonggŏn
쁦	ppŭp
눵	nwŏng
부어	puŏ
꺚	kkyat
걸다	kŏlda
씴	ssil
시대편	sidaep'yŏn
동방	tongbang
사료인	saryoin
노총	noch'ong
봉선사	pongsŏnsa
횃불.	hwaetpul.
노부쿠니	nobukuni
쬨	tchoek
10만	10-man
연등회	yŏndŭnghoe
장로	changno
선암	sŏnam
은미	ŭnmi
용함옥	yonghamok
한가	han'ga
폀	p'yŏl
1천년	1-ch'ŏnnyŏn
한결이	han'gyŏri
포크	p'ok'ŭ
상층	sangch'ŭng
밐	mik
탐험	t'amhŏm
예술제	yesulche
학현	hakhyŏn
금파	kŭmp'a
18인	18-in
공회	konghoe
전수	chŏnsu
원산도	wŏnsando
메이트	meit'ŭ
파과	p'agwa
뱑	pyan
칠순	ch'ilsun
쯘	tchŭn
래일.	naeil.
완혁	wanhyŏk
금지	kŭmji
역편	yŏkp'yŏn
상찬	sangch'an
두려워	turyŏwŏ
연대성	yŏndaesŏng
트는	t'ŭnŭn
깧	kka
쏢	ssom
가디언	kadiŏn
사백년	sabaengnyŏn
DJ노믹스	djnomiksŭ
물보라	mulbora
전문직	chŏnmunjik
승랑	sŭngnang
훌쩍	hultchŏk
믁	mŭk
에로의	eroŭi
띳	ttit
'한반도	'hanbando
룋	noe
시영	siyŏng
한문	hanmun
다층적	tach'ŭngjŏk
사실들	sasildŭl
선양	sŏnyang
정묘년	chŏngmyonyŏn
홅	hol
모단	modan
문인화	muninhwa
한밝	hanbak
개인주의	kaeinjuŭi
횧	hoe
오성	osŏng
남장로교	namjangnogyo
지환	chihwan
규장	kyujang
사인	sain
친복지	ch'inbokchi
미언	miŏn
븠	pŭt
시학회	sihakhoe
뽆	ppon
제국적	chegukchŏk
끜	kkŭk
조열	choyŏl
승고	sŭnggo
'미래	'mirae
대문자	taemuncha
잃다	ilt'a
꿍	kkung
민간인	min'ganin
독해	tokhae
밤배	pampae
꺔	kkyam
남-북한	nam-pukhan
부-의정	pu-ŭijŏng
옻	ot
악공청	akkongch'ŏng
원통기	wŏnt'onggi
병우	pyŏngu
꿡	kkwŏl
셿	sel
명순	myŏngsun
쭃	tchyot
양극화	yanggŭkhwa
쟃	chaet
방정식	pangjŏngsik
국악인	kugagin
공기업	konggiŏp
삼월	samwŏl
회진	hoejin
국현	kukhyŏn
알뜰한	alttŭrhan
비중	pijung
팝니다!	p'amnida!
테크노	t'ek'ŭno
존대	chondae
비교집	pigyojip
혜경	hyegyŏng
민간극	min'gan'gŭk
동향	tonghyang
벨맹-노엘	pelmaeng-noel
떠나며	ttŏnamyŏ
'친척'	'ch'inch'ŏk'
황국	hwangguk
륁	nwin
팠	p'at
성린	sŏngnin
디비나	tibina
문단사적	mundansachŏk
엳	yŏt
열두	yŏltu
탈놀이	t'allori
개나리	kaenari
과기	kwagi
걻	kŏp
퀜	k'wen
캝	k'ael
화엄	hwaŏm
퀔	k'wŏk
온유당	onyudang
로워지면	rowŏjimyŏn
두렁집	turŏngjip
자음	chaŭm
홍로	hongno
채우다	ch'aeuda
정책사적	chŏngch'aeksachŏk
처절한	ch'ŏjŏrhan
인국	inguk
매월	maewŏl
홿	hwael
철재	ch'ŏlchae
윤기	yungi
무명인	mumyŏngin
선사상	sŏnsasang
넸	net
골목길	kolmokkil
1766년	1766-yŏn
랫	naet
관광사	kwan'gwangsa
찬곤	ch'angon
졌는가?	chyŏnnŭn'ga?
제영	cheyŏng
뗫	ttyŏt
마음대로봇	maŭmdaerobot
흥보	hŭngbo
비평사	pip'yŏngsa
봉국	pongguk
4호	4ho
구월산	kuwŏlsan
주마	chuma
뗟	ttyŏt
혜나	hyena
미세리	miseri
'87-'88년	'87-'88-yŏn
예호	yeho
순이	suni
용문	yongmun
북촌	pukch'on
동검	tonggŏm
병산	pyŏngsan
중신	chungsin
팔리	p'alli
높세울	nopseul
몽구	monggu
빝	pit
중앙대	chungangdae
우근	ugŭn
주단	chudan
1604자	1604-cha
감사국	kamsaguk
일상에	ilsange
쮽	tchyun
러시아	rŏsia
중회	chunghoe
참을수	ch'amŭlsu
문서	munsŏ
학지	hakchi
연해주	yŏnhaeju
죽이나	chugina
뾷	ppyot
미연	miyŏn
쓅	sswil
부과	pugwa
빵집	ppangchip
뭥	mwŏng
유고	yugo
퉯	t'wep
남경	namgyŏng
혹은	hogŭn
뚎	ttyop
묧	myol
간찰첩	kanch'alch'ŏp
보조	pojo
시인들	siindŭl
성애	sŏngae
형사	hyŏngsa
철수	ch'ŏlsu
용들	yongdŭl
안소니	ansoni
괤	kwael
첚	ch'ŏk
넀	nyaet
졌	chŏt
영어권	yŏngŏkwŏn
투르크메니스탄	t'urŭk'ŭmenisŭt'an
기타	kit'a
다문화주의	tamunhwajuŭi
설교학적	sŏlgyohakchŏk
우보	ubo
북중	pukchung
표본	pyŏbon
쐂	sswap
방각	panggak
이산	isan
생일	saengil
없이	ŏpsi
뙻	ttoet
영엽	yŏngyŏp
실존주의	silchonjuŭi
병욱	pyŏnguk
요덕	yodŏk
유턴	yut'ŏn
지리원	chiriwŏn
나서	nasŏ
델	tel
세계어	segyeŏ
비정상성	pijŏngsangsŏng
내력	naeryŏk
"""향병"	"""hyangbyŏng"
병훈	pyŏnghun
목련화	mongnyŏnhwa
뎗	tŏp
욜	yol
할당제	haltangje
폟	p'yel
뢤	nwaem
캴	k'yal
광은	kwangŭn
100일	100-il
건강법	kŏnʼgangpŏp
흸	hŭil
텔	t'el
지자체별	chijach'ebyŏl
미선	misŏn
정례	chŏngnye
쫖	tchop
뷷	pyut
채권쟁이들	ch'aekwŏnchaengidŭl
끴	kkŭit
햵	hyaek
직간	chikkan
뇏	noek
당나귀	tangnagwi
ʼ80년대	ʼ80-yŏndae
삔	ppin
수첩.	such'ŏp.
회의	hoeŭi
스캔들	sŭk'aendŭl
1948년	1948-yŏn
댳	tat
연구단	yŏn'gudan
'고유	'koyu
녜	ye
그라피	gŭrap'i
짶	tchap
주기적	chugijŏk
랯	naet
퉢	t'wŏp
지피는	chip'inŭn
얤	yael
쓻	ssŭp
비참	pich'am
만주벌	manjupŏl
송달	songdal
민황	minhwang
불이(불이)적	purijŏk
철부지	ch'ŏlbuji
모스크바	mosŭk'ŭba
소년	sonyŏn
이학	ihak
동구동	tonggu-dong
관계망	kwan'gyemang
달자	talcha
헌신	hŏnsin
식정리	sikchŏng-ni
냾	nyaep
논증한	nonjŭnghan
뇞	noep
우사	usa
턞	t'yaem
원칙	wŏnch'ik
유지된	yujidoen
"""시민"	"""simin"
찄	tchŭit
돌밭	tolbat
국유	kugyu
명시	myŏngsi
보광동	pogwang-dong
짓다	chitta
귲	kyut
닥터	takt'ŏ
에세시	esei
명작집	myŏngchakjip
1929년	1929-yŏn
백양	paegyang
벙	pŏng
경현	kyŏnghyŏn
카메라당	k'ameradang
형세	hyŏngse
완범	wanbŏm
닓	ip
순력	sullyŏk
담는	tamnŭn
가요들	kayodŭl
광범	kwangbŏm
경공업	kyŏnggongŏp
울리고	ulligo
쟩	chyaen
이었던	iŏttŏn
분류한	pullyuhan
고서들	kosŏdŭl
림상	imsang
강선	kangsŏn
진앙지	chinangji
콘설탄트	k'onsŏlt'ant'ŭ
세컨드	sek'ŏndŭ
심어	simŏ
점거	chŏmgŏ
스키타니	sŭk'it'ai
체계적	ch'egyejŏk
희평	hŭip'yŏng
호호	hoho
흻	hŭil
자른	charŭn
덴마크어-한국어	denmak'ŭ-ŏ-hanʼgugŏ
병헌	pyŏnghŏn
벘	pŏt
다면성	tamyŏnsŏng
거니까	kŏnikka
삼십	samsip
문과	munkwa
혡	hyen
정통성	chŏngt'ongsŏng
한민족학	hanminjokhak
퀂	k'wŏn
맴	maem
수목원장	sumogwŏnjang
파인	p'ain
괊	kwap
체험담	ch'ehŏmdam
덕준	tŏkchun
봉건	ponggŏn
애국단	aeguktan
무용적	muyongjŏk
획	hoek
기본기	kibon'gi
뚠	ttun
1960년대-1990년대	1960-yŏndae-1990-yŏngdae
오디세우스	odiseusŭ
민주주의사적	minjujuuisajŏk
펧	p'el
변했는가	pyŏnhaennŭn'ga
반격	pan'gyŏk
뎭	ten
현대사적	hyŏndaesachŏk
광학적	kwanghakchŏk
섬진	sŏmjin
뱺	pyaep
쟯	chyaep
월아	wŏra
킘	k'im
굽	kup
쮂	tchwek
잊어버렸던	ijŏbŏryŏttŏn
속담집	soktamjip
찾아줘	ch'ajajwŏ
맡길	matkil
발음법	parŭmpŏp
희표	hŭip'yo
근식	kŭnsik
쉦	swet
저널리즘	chŏnŏllijŭm
계동	kyedong
수동	sudong
천일	ch'ŏnil
탈퇴	t'alt'oe
국가별	kukkabyŏl
시가선	sigasŏn
기록지	kirokchi
속이는	soginŭn
롄	yen
먆	myan
지역사	chiyŏksa
민중전	minjungjŏn
종언	chongŏn
자기	chagi
쁽	ppŭik
목욕	mogyok
공편	kongp'yŏn
고을	koŭl
칢	ch'im
푺	p'uk
류조	ryujo
전장	chŏnjang
유기론적	yugironjŏk
기본서	kibonsŏ
찬연	ch'anyŏn
퍇	p'yak
경쟁법	kyŏngjaengpŏp
외숙	oesuk
줺	chwen
1920~30년대	1920-30-yŏndae
진책	chinch'aek
형태·	hyŏngt'ae
동필	tongp'il
변기	pyŏnʼgi
녹슬지	noksŭlchi
체암	ch'eam
가능주의	kanŭngjuŭi
마이어	maiŏ
원세	wŏnse
백동	paektong
길명	kilmyŏng
쌮	ssaep
아내들	anaedŭl
호황	hohwang
낣	nap
유사	yusa
증기	chŭnggi
차려	ch'aryŏ
이공	igong
슅	swit
규만	kyuman
현확	hyŏnhwak
명필	myŏngp'il
60년사.	60-yŏnsa.
딃	tip
"의궤"""	"ŭigwe"""
오이밭	oibat
리뷰	ribyu
훈철	hunch'ŏl
치장	ch'ijang
2004년도	2004-yŏndo
귀화	kwihwa
디스플레이	disŭp'ŭllei
신앙.	sinang.
뀷	kkyul
쒈	sswŏl
반사	pansa
학렬	hakryŏl
기양	kiyang
삼경	samgyŏng
듣고	tŭtko
순례	sullye
감탄한	kamt'anhan
중겸	chunggyŏm
아나키스트들	anak'isŭt'ŭdŭl
내주	naeju
일동	iltong
전란기	chŏllan'gi
율성	yulsŏng
꿮	kkwŏp
볼텨!	polt'yŏ!
숙희	sukhŭi
왊	wam
턧	t'yaet
간통죄	kant'ongchoe
친화형	ch'inhwahyŏng
낙엽	nagyŏp
이익	iik
오타쿠	ot'ak'u
애련	aeryŏn
하선	hasŏn
계제사	kyejesa
지도첩	chidoch'ŏp
아이덴티티'	aident'it'i'
웩	wek
틤	t'im
욞	yom
등촌	tŭngch'on
만중	manjung
망헌	manghŏn
좹	chwaep
・러	rŏ
책섬	chaeksom
불교사적	pulgyosajŏk
14연대	14-yŏndae
탫	t'ael
경대	kyŏngdae
절세	chŏlse
금주	kŭmju
85년사	85-yŏnsa
로의	roŭi
주지	chuji
의혁	ŭihyŏk
아람	aram
질문	chilmun
관우	kwanu
헌종	hŏnjong
재길	chaegil
필림	p'illim
툡	t'op
퍲	p'yaep
꺭	kkyael
뱠	pyat
불보라	pulbora
헌팅턴	hŏnt'ingt'ŏn
점봉산	chŏmbongsan
쩀	tchyaem
뀣	kkwit
럾	nŏp
렪	yŏn
사용자	sayongja
1980년	1980-yŏn
한눈	hannun
잊을수	ijŭlsu
텡	t'eng
꽑	kkwak
소멸	somyŏl
켭	k'yŏp
낚는	nangnŭn
쒁	sswŏk
분계선	pun'gyesŏn
분청	punch'ŏng
쭍	tchun
재미	chaemi
갵	kaet
지적인	chichŏgin
유조	yujo
페스트라이쉬	p'esŭt'ŭraishwi
륅	nwik
1910년대	1910-yŏndae
브란트	pŭrant'ŭ
왣	waet
존중	chonjung
썓	ssyaet
금수	kŭmsu
빈도수	pindosu
쀥	ppwin
미덕	midŏk
규백	kyubaek
였다는	yŏttanŭn
샅	sat
봉기	ponggi
쓰심	ssŭsim
정가제	chŏngkaje
뱫	pyaek
쿴	k'ut
긚	kin
이상해졌을까?	isanghaejyŏssŭlkka?
쉬고	swigo
뤤	nwen
멶	myŏn
구활자본	kuhwalchabon
8색	8saek
긾	kip
고조선사	kojosŏnsa
종건	chonggŏn
창업가들	ch'angŏpkadŭl
"""꽃"	"""kkot"
몰츠	molch'ŭ
실타래	silt'arae
렂	nŏt
자위	chawi
뉴스」	"nyusŭ"""
마의	maŭi
한복판에서	hanbokp'anesŏ
깇	kit
교육비	kyoyukpi
기억들	kiŏktŭl
서사학	sŏsahak
진관사	chin'gwansa
지대	chidae
1장	1chang
대제	taeje
옥새	oksae
아시아들	asiadŭl
웃게	utke
용포	yongp'o
재구상	chaegusang
왟	waek
진탁	chint'ak
자국주의	chagukchuŭi
엄한	ŏmhan
'북송선'	'puksongsŏn'
참여권	ch'amyŏkwŏn
혁명적인	hyŏngmyŏngjŏgin
목화	mokhwa
평화학	p'yŏnghwahak
얻고	ŏtko
가지러	kajirŏ
닮고	tamko
이비인후과	ibiinhukwa
살리라	sallira
가지데	kajilte
맥킨지	maekk'inji
줢	chwŏm
오른다	orŭnda
기역	kiyŏk
책쟁이들	ch'aekchaengidŭl
맠	mak
할레드	halledŭ
녨	yel
용로	yongro
초록집	ch'orokchip
반영된	panyŏngdoen
녹슨	noksŭn
찬정	ch'anjŏng
계발서	kyebalsŏ
창작된	ch'angjaktoen
인도네시아-한국어	indonesiaŏ-hanʼgugŏ
수상집	susangjip
훝	hut
법철학	pŏpch'ŏrhak
상설	sangsŏl
숀	son
2012-2014년	2012-2014-yŏn
오브	obŭ
샤머니즘	syamŏnijŭm
26인	26-in
문보	munbo
낐	kkit
놀았다네	norattane
만재	manjae
세책업	sech'aegŏp
아키히코	ak'ihik'o
추자	ch'uja
반공	pan'gong
영숙	yŏngsuk
흑인	hŭgin
헌욱	hŏnuk
엑스	eksŭ
은섭	ŭnsŏp
너희	nŏhŭi
파병사	p'abyŏngsa
・왜관	waegwan
받아야	padaya
부안	puan
의류	ŭiryu
원고지	wŏnʼgoji
관리직	kwallijik
숪	sup
북극성	pukkŭksŏng
계실	kyesil
례절법	yejŏlpŏp
조작사	chojaksa
군대	kundae
혈육	hyŏryuk
속리산	songnisan
상대주의	sangdaejuŭi
길어	kirŏ
봉암	pongam
후반	huban
키르키즈어	k'irŭk'ijŭo
말미암아	malmiama
툁	t'oel
터져	t'ŏjyŏ
긶	kin
뚺	ttwŏk
똡	ttop
모더니티	modŏnit'i
엢	ep
카르텔	k'arŭt'el
선이	sŏni
통혁당・	t'onghyŏktang
보다'	poda'
컴스	k'ŏmsŭ
앞모습	ammosŭp
쑢	ssyop
우돌	udol
아나운서	anaunsŏ
14박	14-pak
환익	hwanik
톶	t'ot
죄수	choesu
준기	chungi
커뮤니티	k'ŏmyunit'i
중간	chunggan
지배층	chibaech'ŭng
순모	sunmo
횪	hyok
댦	tam
다미오	tamio
양식	yangsik
숭고	sunggo
쉂	swŏp
1800자	1800-cha
등신불	tŭngsinbul
문예	munye
의철	ŭich'ŏl
고구려어	koguryŏŏ
의상	ŭisang
현황	hyŏnhwang
스페인	sŭp'ein
욘사마	yonsama
무홍	muhong
솟아	sosa
대진	taejin
군영	kŭnyŏng
쁄	ppyul
나폴레온	nap'olleon
놖	nwak
자일	chail
임하소서	imhasosŏ
봇나무	ponnamu
뿾	ppwŏt
긬	kik
넗	nŏl
헤게모니	hegemoni
비핵	pihaek
법통	pŏpt'ong
다문화.	tamunhwa
보존론	pojonnon
챌린지	ch'aellinji
호신	hosin
홭	hwat
짚필	chipp'il
혈맥	hyŏlmaek
꾎	kkoep
더부러	tŏburŏ
수교	sugyo
뢅	nwal
럘	nyael
외송	oesong
견제	kyŏnje
쩳	tchep
손와	sonwa
이구	igu
륤	yul
싖	sit
향나무	hyangnamu
장동	changdong
묗	moe
반한	panhan
멪	met
시작!	sijak!
세정	sejŏng
여의도	yŏŭido
정조대	chŏngjodae
미사일	misail
의복식	ŭiboksik
증권사	chŭngkwŏnsa
이룩	iruk
춘식	ch'unsik
정무	chŏngmu
쑄	ssoek
흐름	hŭrŭm
보순	posun
수린	surin
기우제	kiuje
이공계	igonggye
망한	manghan
은규	ŭngyu
미지급	mijigŭp
영서	yŏngsŏ
정토찬	chŏngt'och'an
문형	munhyŏng
뚮	ttup
퐢	p'wap
과정기	kwajŏnggi
머니	mŏni
한부	hanbu
20년	20-yŏn
썚	ssyaep
쓷	ssŭt
땲	ttyam
했다고	haettago
강독회	kangdokhoe
의약품	uiyakp'um
목마르요	mongmarŭyo
셨	sŏt
문헌사적	munhŏnsajŏk
종범	chongbŏm
유니온	yunion
북극권	pukkŭkkwŏn
쓐	sswik
이륜	iryun
수록	surok
좙	chwal
기획부	kihoekpu
반대말	pandaemal
쉜	swel
상효	sanghyo
강탈자	kangt'alcha
국어과	kugŏkwa
췋	ch'wŏ
셡	sŏl
이노베이터	inobeit'ŏ
국문판	kungmunp'an
안정법	anjŏngpŏp
있더라	ittŏrra
새다	saeda
영란	yŏngnan
자주적	chajujŏk
고기	kogi
병와	pyŏngwa
썣	ssyaet
경북대	kyŏngbuktae
꽼	kkwaek
볃	pyŏt
펝	p'en
후남	hunam
순임	sunim
5000년	5000-yŏn
논총	nonch'ong
한,중	han-chung
배타적	paet'ajŏk
양립	yangnip
적소	chŏkso
얥	yael
중인들	chungindŭl
낙선재	naksŏnjae
멸	myŏl
18번째	18-pŏntchae
국태	kukt'ae
노벰버	nobembŏ
를	rŭl
녳	yet
쵨	ch'oel
명배신전	myŏngbaesinjŏn
재개발	chaegaebal
신령	sillyŏng
두번째	tubŏntchae
남남	namnam
현택	hyŏnt'aek
마뜨료시카	mattŭryosik'a
뀓	kkwit
메리놀	merinol
승자	sŭngja
꽝	kkwang
달.	tal.
중엽-20세기	chungyŏp-20-segi
장흠	changhŭm
한·oWt·oVm	han-chung-il
자국	chaguk
뗬	ttyŏt
어린이	ŏrini
피에타	p'iet'a
이른	irŭn
괴담	koedam
코비	k'obi
전함	chŏnham
턼	t'ŏl
쒣	sswet
태종	t'aejong
신유가	sinyuga
민요집	minyojip
뷧	pit
확률	hwangnyul
과목	kwamok
가져	kajyŏ
사로잡은	sarojabŭn
알레르기	allerŭgi
요정사	yojŏngsa
검토	kŏmt'o
신유	sinyu
웹	wep
정길	chŏnggil
시·	si
제인	chein
먤	myael
선포	sŏnp'o
다원성	tawŏnsŏng
사기꾼	sagikkun
삐딱	ppittak
스캐너	sŭk'aenŏ
알락공	allakkong
복	pok
펵	p'yŏk
차별적	ch'abyŏlchŏk
죒	choep
38호	38-ho
갓길	katkil
가야인	kayain
뎥	tŏt
퉎	t'wŏn
교회사	kyohoesa
콉	k'yep
베기	pegi
헤맨	hemaen
태기	t'aegi
사겸	sagyŏm
쏐	ssyet
수백	subaek
관원들	kwanwŏndŭl
딴	ttan
판화	p'anhwa
막는	mangnŭn
췈	ch'wŏk
기룬	kirun
둧	tut
끔	kkŭm
문장들	munjangdŭl
행철	haengch'ŏl
퀼	k'wil
쵃	ch'waek
말-20세기	mal-20-segi
성빈	sŏngbin
종각	chonggak
똑같네	ttokkanne
고야스	koyasŭ
합의	habŭi
긨	kit
롿	nwat
곶자왈	kotchawal
솦	sop
호윤	hoyun
몷	mol
기옥	kiok
파견된	p'agyŏndoen
쁝	ppŭn
괶	koek
타이폴로지	t'aip'olloji
걪	kyaet
열세살	yŏlsesal
불어	purŏ
닦지	takchi
일한	irhan
임원들	imwŏndŭl
아메리카	amerik'a
퍫	p'yaep
교양론	kyoyangnon
괿	koep
몯	mot
넘기'	nŏmki'
181장면	181-changmyŏn
트릴레마	t'ŭrillema
상곤	sanggon
읽는다	ingnŭnda
뮦	myuk
광필	kwangp'il
사관	sagwan
도저한	tojŏhan
인조	injo
37회	37-hoe
급진주의	kŭpchinjuŭi
원웅	wŏnung
전국당	chŏn'guktang
사회사	sahoesa
감기	kamgi
지평	chip'yŏng
쬓	tchoek
걷고	kŏtko
대용	taeyong
"수행기"""	"suhaenggi"""
화길	hwagil
으로서의	ŭrosŏŭi
일일	iril
분재	punjae
봀	pol
중력	chungnyŏk
4차	4ch'a
재윤	chaeyun
듣기	tŭtki
우심	usim
외상	oesang
아카이빙	ak'aibing
시습	sisŭp
계란	kyeran
사호선	sahosŏn
구재	kujae
승실	sŭngsil
"비평"""	"pip'yŏng"""
창의성	ch'angŭisŏng
성보	sŏngbo
그림책	kŭrimch'aek
껖	kkŏp
미시	misi
드론	tŭron
민족주의란	minjokchuŭiran
백제	paekche
총명	ch'ongmyŏng
쵒	ch'waep
뭟	mwŏl
육군력	yukkunnyŏk
영구	yŏnggu
우미노	umino
완재	wanjae
긴지	kinji
쵬	ch'oem
민주	minju
메리고라운드	merigoraundŭ
솸	swam
역사의	yŏksaŭi
끀	kkyuk
강엽	kangyŏp
넄	nyaek
맄	ik
거친	kŏch'in
몽배	mongbae
조차	choch'a
같다면	kattamyŏn
칄	ch'il
여물	yŏmul
법!	pŏp!
이티	it'i
였어!	yŏssŏ!
서술자	sŏsulja
떍	ttyaek
놪	nwat
벽골제	pyŏkkolche
프랑크	p'ŭrangk'ŭ
샀	sat
흥부가	hŭngbuga
책문	ch'aengmun
땺	ttyap
돺	twap
뽘	ppok
무과	mugwa
인제	inje
백중	paekchung
생각날	saenggaknal
셠	sŏl
료타로	ryot'aro
통합	t'onghap
민족주의'	minjokchuŭi'
시가집	sigajip
비등	pidŭng
흗	hŭt
홍택	hongt'aek
뾸	ppyol
튬	t'um
킸	k'it
사진론	sajinnon
쮠	tchwin
즯	chip
동남	tongnam
원시-근대	wŏnsi-kŭndae
아차	ach'a
인체	inch'e
46인	46-in
뷮	pip
강진군	kangjin-gun
행장	haengjang
날개	nalgae
광룡	kwangnyong
싧	sip
"거실"""	"kŏsil"""
생태학적	saengt'aehakchŏk
운동'	undong'
햖	hyan
숓	sot
퐘	p'wam
교과	kyokwa
춘만	ch'unman
10인	10-in
리화	nihwa
퓹	p'yup
근년	kŭnnyŏn
오창	och'ang
덙	tŏn
돈!	ton!
튌	t'wil
정간보	chŏngganbo
쇼	syo
쫱	tchwat
련생	ryŏnsaeng
삼덕동	samdŏk-tong
휇	hwep
륜	yun
오스커리즘	osŭk'ŏrijŭm
고마운	komaun
권한	kwŏnhan
쬾	tchyop
번역자	pŏnyŏkcha
쫑내자	tchongnaeja
딩창	tingch'ang
듙	tut
문파	munp'a
안양	anyang
신조	sinjo
가보라지	kaboraji
율령	yullyŏng
한사군	hansagun
얼어	ŏrŏ
분쉬	punswi
킳	k'il
단편선.	tanp'yŏnsŏn.
원주	wŏnju
챪	ch'am
꼸	kkol
예상	yesang
둵	twŏk
듴	tŭk
강안리	kangal-li
연금술사들	yŏn'gŭmsulsadŭl
황태자비	hwangt'aejabi
이다음	idaŭm
합방.	happang.
돌아본	torabon
워런	wŏrŏn
콪	k'ot
깨어	kkaeŏ
펃	p'ŏt
걿	kŏl
네비게이션	nebigeisyŏn
젪	chep
턇	t'al
기억법	kiŏkpŏp
천태	ch'ŏnt'ae
아메이칸	amerik'an
지지한다	chijihanda
상위	sangwi
인력	illyŏk
들어는	tŭrŏnŭn
쏙쏙	ssokssok
사학사적	sahaksajŏk
학령	hangnyŏng
위례	wirye
신작.	sinjak
야생화	yasaenghwa
뺆	ppaem
교갑	kyogap
쟁	chaeng
환경사	hwan'gyŏngsa
매체.	maech'e.
후예들	huyedŭl
댹	tyaek
다은	taŭn
병해	pyŏnghae
섬겨라	sŏmgyŏra
몬	mon
료리	yori
4~중	4~chung
제대	chedae
캥	k'aeng
타임라인	t'aimnain
언석	ŏnsŏk
의장학	ŭijanghak
백살	paeksal
쫂	tchon
한국본	han'gukpon
에게는	egenŭn
뉴논문.	nyunonmun
봪	pwap
종직	chongjik
살아요	sarayo
3의	3ŭi
쟍	chan
흥해야	hŭnghaeya
봹	pwael
짜는	tchanŭn
조엘	joel
밷	paet
기획론	kihoengnon
대전망	taejŏnmang
빼앗은	ppaeasŭn
장본인	changponin
팀	t'im
조건들	chokŏndŭl
옹호	ongho
왕비	wangbi
나아간	naagan
꾴	kkyok
라	na
슥	sŭk
"전시관"""	"chŏnsigwan"""
청봉	ch'ŏngbong
제재	chejae
병관	pyŏnggwan
협회전	hyŏphoejŏn
침탈극	ch'imt'algŭk
명심보감	myŏngsim
제삼	chesam
뼯	ppyep
완식	wansik
회숙	hoesuk
몽산	mongsan
군자리	kunjari
108선	108-sŏn
강의	kangŭi
잠정적	chamjŏngjŏk
최종판	ch'oejongp'an
산정	sanjŏng
반성성	pansŏngsŏng
내세요	naeseyo
원덕	wŏndŏk
뱎	pyak
연형	yŏnhyŏng
밆	mip
천주교사	ch'ŏnjugyosa
멒	mŏp
테이프	t'eip'ŭ
넵	nep
기업인들	kiŏbindul
비상시	pisangsi
탐진강	t'amjin'gang
륽	nŭk
돻	twa
대한민국	taehanmin'guk
룮	nun
법인화	pŏbinhwa
졞	chem
꽙	kkwap
몶	mop
꾸고	kkugo
첨벙	ch'ŏmbŏng
무스	moose
춤추다	ch'umch'uda
왓	wat
성왕	sŏngwang
불온	puron
수묵	sumuk
둈	tot
쏩	ssop
래	nae
연향	yŏnhyang
거품	kŏp'um
쨩	tchyang
13회	13-hoe
'숨'	'sum'
이북	ibuk
삍	ppŭit
종교·	chonggyo
틀렸어요	t'ŭllyŏtsŏyo
에서는	esŏnŭn
샕	sael
소사이어티	sosaiŏt'i
열혈	yŏrhyŏl
비약	piyak
100집	100-chip
롛	ye
원훈	wŏnhun
벞	pŏp
왕�	wangsil
경렬	kyŏngnyŏl
개항	kaehang
우기	ugi
한계선	han'gyesŏn
편역주	p'yŏnyŏkchu
장-막스	jang-maksŭ
얄	yal
마키아벨리즘	mak'iabellijŭm
참가자들	ch'amgajadŭl
흠모	hŭmmo
사동	sadong
곈	kyen
가타이	kat'ai
럣	nyaet
린수	ninsu
비그포르스	pigŭp'orŭsŭ
현장	hyŏnjang
왕궁	wanggung
아몬드	amondŭ
궍	kwŏn
박해사	pakhaesa
릃	nŭl
켗	k'et
뀒	kkwin
쮟	tchwik
부양	puyang
맹렬한	maengnyŏrhan
궁극적	kunggŭkchŏk
선웅	sŏnung
퐹	p'waeng
장균	changgyun
푸른	p'urŭn
비기	pigi
피였던	p'iyŏttŏn
・담	tam
쳨	ch'ŏk
월탄	wŏlt'an
다나카	tanak'a
쓰는가	ssŭnŭn'ga
곡성군	koksŏng-gun
돼야	twaeya
술래	sullae
평균	p'yŏnggyun
인간학적	inʼganhakchŏk
주름	churŭm
깐깐한	kkankkanhan
작전명	chakchŏnmyŏng
대헌	taehŏn
기사형	kisahyŏng
덕암	tŏgam
보상	posang
아우성	ausŏng
건넌다	kŏnnŏnda
방명록.	pangmyŏngnok
'자유'	'chayu'
・길	kil
누리는	nurinŭn
40주년	40-chunyŏn
준항	chunhang
폭파범'	p'okp'abŏm'
어초	ŏch'o
췵	ch'wil
길라잡이	killajabi
힝	hing
1910년	1910-yŏn
신나는	sinnanŭn
뿗	ppup
장미회	changmihoe
침례	ch'imnye
뭕	mwŏn
해설집	haesŏlchip
시인회	siinhoe
은직	ŭnjik
청우	ch'ŏngu
곓	kyel
창	ch'ang
청학동	ch'ŏnghaktong
화교	hwagyo
죽어라	chugŏra
돃	te
선택할	sŏnt'aekhal
신외교	sinoegyo
광물	kwangmul
현균］	hyŏn-gyun
사랑'	sarang'
음료	ŭmnyo
택진	t'aekchin
15주년	15-chunyŏn
눻	nwŏ
현심	hyŏnsim
한국관	han'gukkwan
기차	kich'a
강옥	kangok
민물	minmul
틪	t'it
복식	poksik
사살	syasal
삼국지	samgukchi
"별"""	"pyŏl"""
마상	masang
뿴	ppwŏl
목화꽃	mokhwakkot
비상법	pisangpŏp
삼가해	samgahae
근제	kŭnje
